name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Buffers","LockedBuffers","LockedMemory","Memory"
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/16",100,161772,4062.5,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/16",10,603030,12500,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/16",1,2.73588e+06,31250,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/16",1,1.07615e+07,62500,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/32",100,144162,2500,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/32",10,591070,6250,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/32",10,2.32874e+06,23437.5,us,,,,,,5,3,1.31072e+06,2.09715e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/32",1,9.42169e+06,46875,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/64",100,139479,3593.75,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/64",10,648435,14062.5,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/64",1,2.62279e+06,15625,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/64",1,1.08303e+07,62500,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/128",100,158447,1875,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/128",10,593830,7812.5,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/128",10,2.41331e+06,20312.5,us,,,,,,5,3,1.31072e+06,2.09715e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/128",1,9.3667e+06,31250,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/256",100,149078,2343.75,us,,,,,,5,3,326656,522240
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/256",10,588560,7812.5,us,,,,,,5,3,654336,1.04653e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/256",10,2.33702e+06,18750,us,,,,,,5,3,1.3097e+06,2.0951e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/256",1,9.41583e+06,31250,us,,,,,,7,3,2.62042e+06,4.97766e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/512",100,168620,2343.75,us,,,,,,5,3,323584,516096
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/512",10,662663,6250,us,,,,,,5,3,651264,1.04038e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/512",10,2.49522e+06,20312.5,us,,,,,,5,3,1.30662e+06,2.08896e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/512",1,9.81205e+06,62500,us,,,,,,8,3,2.61734e+06,5.49274e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/16",10,286369,4687.5,us,,,,,,6,4,458752,655360
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/16",10,1.14865e+06,7812.5,us,,,,,,6,4,917504,1.31072e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/16",1,6.19764e+06,15625,us,,,,,,8,4,1.83501e+06,3.01466e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/16",1,1.95182e+07,62500,us,,,,,,8,4,3.67002e+06,6.02931e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/32",10,277033,6250,us,,,,,,6,4,458752,655360
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/32",10,1.18706e+06,4687.5,us,,,,,,6,4,917504,1.31072e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/32",1,5.06217e+06,46875,us,,,,,,8,4,1.83501e+06,3.01466e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/32",1,1.94236e+07,46875,us,,,,,,8,4,3.67002e+06,6.02931e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/64",10,290060,4687.5,us,,,,,,6,4,458752,655360
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/64",10,1.1533e+06,4687.5,us,,,,,,6,4,917504,1.31072e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/64",1,6.23493e+06,31250,us,,,,,,8,4,1.83501e+06,3.01466e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/64",1,2.28195e+07,31250,us,,,,,,8,4,3.67002e+06,6.02931e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/128",10,300141,4687.5,us,,,,,,6,4,458752,655360
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/128",10,1.21468e+06,3125,us,,,,,,6,4,917504,1.31072e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/128",1,5.05835e+06,15625,us,,,,,,8,4,1.83501e+06,3.01466e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/128",1,2.02504e+07,31250,us,,,,,,8,4,3.67002e+06,6.02931e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/256",10,417074,6250,us,,,,,,6,4,457728,653312
