name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Buffers","LockedBuffers","LockedMemory","Memory"
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/16",100,289031,2343.75,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/16",10,1.60581e+06,9375,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/16",1,6.72973e+06,15625,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/16",1,2.7479e+07,31250,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/32",10,423515,1562.5,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/32",10,1.71687e+06,12500,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/32",1,7.03525e+06,15625,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/32",1,2.81778e+07,62500,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/64",10,432466,4687.5,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/64",10,1.74154e+06,10937.5,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/64",1,6.87724e+06,15625,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/64",1,2.73957e+07,31250,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/128",10,410739,6250,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/128",10,1.65506e+06,14062.5,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/128",1,6.73038e+06,15625,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/128",1,2.67347e+07,31250,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/256",10,400370,3125,us,,,,,,5,3,326656,522240
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/256",10,1.60667e+06,10937.5,us,,,,,,5,3,654336,1.04653e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/256",1,6.6425e+06,0,us,,,,,,7,3,1.3097e+06,2.4873e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/256",1,2.62655e+07,46875,us,,,,,,7,3,2.62042e+06,4.97766e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/512",10,398480,1562.5,us,,,,,,5,3,323584,516096
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/512",10,1.59044e+06,10937.5,us,,,,,,5,3,651264,1.04038e+06
